_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
2266361,4154257,2017.0,,1960.0,PRIVATE,7,Humber River-Black Creek,3 DAMASK AVE,3,10,2022-12-30,83,Evaluation needs to be conducted in 2 years,15,3.0,5.0,5.0,3.0,3.0,5.0,,4.0,,,3.0,5.0,5.0,4.0,5.0,5.0,,3.0,4.0,,W0728,43.7416935323,-79.5396641026,301589.804,4844415.3319999995
2266362,4155294,2017.0,,1940.0,PRIVATE,3,Etobicoke-Lakeshore,2655 BLOOR ST W,5,45,2022-12-30,79,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,3.0,2.0,,4.0,,4.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,,W0327,43.6494614357,-79.495683937,305101.599,4834184.1389999995
2266363,4153885,2017.0,,1955.0,PRIVATE,12,Toronto-St. Paul's,567 AVENUE RD,11,63,2022-12-30,91,Evaluation needs to be conducted in 3 years,18,4.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,,S1232,43.688402926,-79.40160629399999,312716.44899999996,4838499.822
2266364,4156367,2017.0,,1954.0,PRIVATE,5,York South-Weston,4 GREENBROOK DR,3,23,2022-12-30,79,Evaluation needs to be conducted in 2 years,15,3.0,5.0,5.0,3.0,4.0,3.0,,4.0,,,4.0,3.0,5.0,4.0,4.0,5.0,,4.0,3.0,,W0532,43.697269463999994,-79.47635433880001,306690.437,4839479.496
2266365,4155488,2017.0,,1955.0,PRIVATE,3,Etobicoke-Lakeshore,2532 LAKE SHORE BLVD W,4,46,2022-12-30,75,Evaluation needs to be conducted in 2 years,15,5.0,4.0,5.0,3.0,3.0,2.0,,4.0,,,3.0,4.0,4.0,5.0,3.0,4.0,,4.0,3.0,,W0336,43.6109821847,-79.4903809388,305560.767,4829893.29
2266366,4155494,2017.0,,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2547 LAKE SHORE BLVD W,4,26,2022-12-30,78,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,3.0,3.0,,4.0,,4.0,4.0,5.0,5.0,3.0,5.0,3.0,,4.0,3.0,,W0336,43.609303546999996,-79.4892009672,305656.036,4829706.813
2266367,4154231,2017.0,,1970.0,PRIVATE,7,Humber River-Black Creek,2940 JANE ST,13,153,2022-12-30,82,Evaluation needs to be conducted in 2 years,18,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0729,43.753728376000005,-79.51778801020001,303352.137,4845751.71
2266368,4154233,2017.0,,1970.0,PRIVATE,7,Humber River-Black Creek,2970 JANE ST,14,164,2022-12-30,86,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0729,43.7553825332,-79.5178201808,303349.587,4845935.472
2266369,4156565,2017.0,,1968.0,PRIVATE,5,York South-Weston,15 HARDING AVE,19,335,2022-12-30,74,Evaluation needs to be conducted in 2 years,20,5.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,W0528,,,304655.788,4839682.129
2266370,4155481,2017.0,,1957.0,PRIVATE,3,Etobicoke-Lakeshore,2303 LAKE SHORE BLVD W,4,38,2022-12-30,96,Evaluation needs to be conducted in 3 years,15,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,,,5.0,5.0,5.0,5.0,4.0,5.0,,4.0,5.0,,W0336,43.6181573986,-79.48620440270001,305864.468,4830685.073
2266371,4155480,2017.0,,1954.0,PRIVATE,3,Etobicoke-Lakeshore,2309 LAKE SHORE BLVD W,4,28,2022-12-30,70,Evaluation needs to be conducted in 2 years,16,3.0,3.0,4.0,3.0,3.0,4.0,,3.0,,2.0,3.0,4.0,5.0,4.0,3.0,4.0,,4.0,4.0,,W0336,43.6177159242,-79.4864921975,305843.963,4830639.407
2266372,4155477,2017.0,,1958.0,PRIVATE,3,Etobicoke-Lakeshore,2355 LAKE SHORE BLVD W,4,86,2022-12-30,69,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,2.0,2.0,2.0,,3.0,4.0,,3.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,,W0336,43.61606574100001,-79.48769627729999,305777.4,4830458.074
2266373,4155476,2017.0,,1960.0,PRIVATE,3,Etobicoke-Lakeshore,2361 LAKE SHORE BLVD W,4,47,2022-12-30,82,Evaluation needs to be conducted in 2 years,17,4.0,5.0,5.0,4.0,3.0,4.0,,3.0,5.0,,4.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,,W0336,43.6158682454,-79.4878084713,305768.347,4830436.132
2266374,4155475,2017.0,,1959.0,PRIVATE,3,Etobicoke-Lakeshore,2369 LAKE SHORE BLVD W,4,87,2022-12-30,74,Evaluation needs to be conducted in 2 years,17,3.0,3.0,5.0,3.0,4.0,4.0,,3.0,5.0,,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,,W0336,43.615736635,-79.48788213569999,305762.403,4830421.51
2266375,4155474,2017.0,,1970.0,PRIVATE,3,Etobicoke-Lakeshore,2377 LAKE SHORE BLVD W,4,23,2022-12-30,72,Evaluation needs to be conducted in 2 years,18,4.0,3.0,5.0,4.0,4.0,2.0,,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,,W0336,43.6154404667,-79.4878892475,305761.833,4830388.607
2266376,4156439,2017.0,,1993.0,SOCIAL HOUSING,5,York South-Weston,33 GABIAN WAY,18,248,2022-12-30,89,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,,4.0,2.0,5.0,W0533,43.6931197205,-79.46886392319999,307294.354,4839018.662
2266377,4155297,2017.0,,1960.0,PRIVATE,3,Etobicoke-Lakeshore,2645 BLOOR ST W,5,42,2022-12-30,91,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,,W0327,43.648946892,-79.494356545,305239.348,4834111.89
2266378,4155234,2017.0,,1947.0,PRIVATE,3,Etobicoke-Lakeshore,3 NEWHOLM RD,4,25,2022-12-30,79,Evaluation needs to be conducted in 2 years,17,4.0,5.0,5.0,4.0,4.0,4.0,,3.0,,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,,W0329,43.6360787547,-79.48763013840001,305782.438,4832681.407
2266379,4155233,2017.0,,1955.0,PRIVATE,3,Etobicoke-Lakeshore,5 NEWHOLM RD,4,27,2022-12-30,68,Evaluation needs to be conducted in 2 years,17,3.0,3.0,5.0,3.0,4.0,4.0,,4.0,,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,,W0329,43.635644689799996,-79.4874066551,305800.477,4832633.187
2266380,4155227,2017.0,,1957.0,PRIVATE,3,Etobicoke-Lakeshore,301 PARK LAWN RD,4,25,2022-12-30,76,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,3.0,4.0,5.0,,4.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,,W0329,43.6350512379,-79.49246019479999,305392.658,4832567.215
