_id,propertyAddress,propertyType,propertyWard,InspectionThread,,INSPECTIONS_OPENDATE,INSPECTIONS_CLOSEDDATE,VIOLATIONS_ITEM_NUMBER,Violation_Yes_No
3530512,40 Stevenson Rd,High Rise,1,_643dcACA293CD9B,,2017-06-05,2017-06-05,0,No
3530513,787 Jane St,High Rise,5,_644fcB35B649041,,2017-02-03,2017-02-06,0,No
3530514,2 Glamorgan Ave,High Rise,21,_645bb2F455E4579,,2017-01-10,2017-02-08,0,No
3530515,65 Silver Springs Blvd,High Rise,22,_645bbB70BB8E2B7,,2017-01-16,2017-02-06,0,No
3530516,3479 St Clair Ave E,High Rise,20,_6468dD60EA99A13,,2017-01-12,2017-01-13,0,No
3530517,90 Park Lawn Rd,High Rise,3,_646ee65169A026A,,2017-01-12,2017-01-12,0,No
3530518,60 Gloucester St,High Rise,13,_646f0F031805CB3,,2017-01-26,2017-11-30,1,Yes
3530519,60 Gloucester St,High Rise,13,_646f0F031805CB3,,2017-01-26,2017-11-30,2,Yes
3530520,60 Gloucester St,High Rise,13,_646f0F031805CB3,,2017-01-26,2017-11-30,3,Yes
3530521,60 Gloucester St,High Rise,13,_646f0F031805CB3,,2017-01-26,2017-11-30,4,Yes
3530522,2825 Islington Ave,High Rise,7,_6471c0794A14670,,2017-01-13,2017-01-16,0,No
3530523,15 Tobermory Dr,High Rise,7,_6471d47D1E44056,,2017-01-26,2017-08-17,1,Yes
3530524,15 Tobermory Dr,High Rise,7,_6471d47D1E44056,,2017-01-26,2017-08-17,2,Yes
3530525,2095 Lake Shore Blvd W,High Rise,3,_6471e5AA9450596,,2017-01-16,2017-01-19,0,No
3530526,90 Park Lawn Rd,High Rise,3,_6471e69CD587484,,2017-01-12,2017-02-28,0,No
3530527,40 Stevenson Rd,High Rise,1,_64739367AD4590F,,2017-04-10,2017-04-26,0,No
3530528,25 Cedarcroft Blvd,High Rise,6,_64796EF398ABC0B,,2017-01-24,2017-02-07,0,No
3530529,10 Garnett Janes Rd,High Rise,3,_64797DB343C6165,,2017-01-11,2017-01-12,0,No
3530530,145 Queen St E,High Rise,13,_647ad805788B8F8,,2017-01-26,2017-01-26,0,No
3530531,1 Firvalley Crt,High Rise,20,_647aeBB2F2E86F1,,2017-01-11,2017-01-11,0,No
3530532,40 Teesdale Pl,High Rise,20,_647afBF8FD1EDF2,,2017-01-05,2017-05-30,0,No
3530533,125 Lawton Blvd,High Rise,12,_647de3C96665D57,,2017-01-11,2017-01-17,0,No
3530534,168 John St,High Rise,10,_647de979DBC10AB,,2017-01-04,2017-01-04,0,No
3530535,5 Agate Rd,High Rise,6,_647e43DEEC10CC1,,2017-01-04,2017-02-02,0,No
3530536,341 Bloor St W,High Rise,11,_647f710AACD45BD,,2017-01-19,2017-01-19,0,No
3530537,32 Trolley Cres,High Rise,13,_647fa553D53634A,,2017-01-04,2017-01-04,0,No
3530538,1950 Kennedy Rd,High Rise,21,_6483dA00F1BA91D,,2017-01-27,2017-08-30,1,Yes
3530539,1950 Kennedy Rd,High Rise,21,_6483dA00F1BA91D,,2017-01-27,2017-08-30,2,Yes
3530540,1950 Kennedy Rd,High Rise,21,_6483dA00F1BA91D,,2017-01-27,2017-08-30,3,Yes
3530541,1950 Kennedy Rd,High Rise,21,_6483dA00F1BA91D,,2017-01-27,2017-08-30,4,Yes
3530542,1950 Kennedy Rd,High Rise,21,_6483dA00F1BA91D,,2017-01-27,2017-08-30,5,Yes
3530543,2450 Weston Rd,High Rise,5,_648576358C6AB4A,,2017-02-07,2017-02-13,0,No
3530544,100 Upper Madison Ave,High Rise,18,_6485e1A59AE077B,,2017-01-19,2018-01-30,1,Yes
3530545,100 Upper Madison Ave,High Rise,18,_6485e1A59AE077B,,2017-01-19,2018-01-30,2,Yes
3530546,15 Tobermory Dr,High Rise,7,_6486d8B662ECC5E,,2017-01-26,2017-01-26,0,No
3530547,3847 Lawrence Ave E,High Rise,24,_6486e678373A9C1,,2017-01-05,2017-01-06,0,No
3530548,120 Town Haven Pl,High Rise,20,_6486e80043FE323,,2017-01-19,2017-01-24,0,No
3530549,1460 Bayview Ave,High Rise,15,_6488666410A7126,,2017-01-04,2017-09-11,1,Yes
3530550,1460 Bayview Ave,High Rise,15,_6488666410A7126,,2017-01-04,2017-09-11,2,Yes
3530551,1460 Bayview Ave,High Rise,15,_6488666410A7126,,2017-01-04,2017-09-11,3,Yes
3530552,1460 Bayview Ave,High Rise,15,_6488666410A7126,,2017-01-04,2017-09-11,4,Yes
3530553,1460 Bayview Ave,High Rise,15,_6488666410A7126,,2017-01-04,2017-09-11,5,Yes
3530554,1460 Bayview Ave,High Rise,15,_6488666410A7126,,2017-01-04,2017-09-11,6,Yes
3530555,2850 Jane St,High Rise,7,_64a350AC802AA5E,,2017-01-09,2017-01-10,0,No
3530556,170 Chalkfarm Dr,High Rise,7,_64a357149D818F7,,2017-01-12,2017-01-17,0,No
3530557,77 Howard St,High Rise,13,_64a3581670FB6D5,,2017-01-10,2017-01-12,0,No
3530558,710 Humberwood Blvd,High Rise,1,_64a35B123E25B30,,2017-01-10,2017-01-11,0,No
3530559,15 Scadding Ave,High Rise,10,_64a35BD9BDB2263,,2017-01-09,2017-01-09,0,No
3530560,910 Queens Plate Dr,High Rise,1,_64a3618A620F8E2,,2017-01-09,2017-01-09,0,No
3530561,377 Madison Ave,High Rise,12,_64a363686ADB454,,2017-01-09,2017-01-10,0,No
