location_id,SERVICE_USER_COUNT,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,CAPACITY_FUNDING_BED,OCCUPIED_BEDS,UNOCCUPIED_BEDS,UNAVAILABLE_BEDS,CAPACITY_ACTUAL_ROOM,CAPACITY_FUNDING_ROOM,OCCUPIED_ROOMS,UNOCCUPIED_ROOMS,UNAVAILABLE_ROOMS,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS
7498531,49,Room Based Capacity,,,,,,48,55,48,0,7,,100
7498532,18,Room Based Capacity,,,,,,9,15,9,0,6,,100
7498533,18,Room Based Capacity,,,,,,18,29,18,0,11,,100
7498534,8,Bed Based Capacity,8,8,8,0,0,,,,,,100,
7498535,294,Room Based Capacity,,,,,,107,113,107,0,6,,100
7498536,336,Room Based Capacity,,,,,,106,107,106,0,1,,100
7498537,13,Room Based Capacity,,,,,,13,13,13,0,0,,100
7498538,149,Room Based Capacity,,,,,,145,155,145,0,10,,100
7498539,38,Room Based Capacity,,,,,,38,40,38,0,2,,100
7498540,32,Bed Based Capacity,32,33,32,0,1,,,,,,100,
7498541,14,Bed Based Capacity,15,15,14,1,0,,,,,,93.33,
7498542,57,Room Based Capacity,,,,,,21,30,21,0,9,,100
7498543,214,Room Based Capacity,,,,,,63,65,63,0,2,,100
7498544,28,Room Based Capacity,,,,,,14,14,14,0,0,,100
7498545,74,Room Based Capacity,,,,,,75,77,74,1,2,,98.67
7498546,12,Bed Based Capacity,12,12,12,0,0,,,,,,100,
7498547,122,Room Based Capacity,,,,,,66,86,66,0,20,,100
7498548,100,Room Based Capacity,,,,,,100,100,100,0,0,,100
7498549,150,Room Based Capacity,,,,,,43,43,43,0,0,,100
7498550,2,Bed Based Capacity,2,20,2,0,18,,,,,,100,
7498551,113,Room Based Capacity,,,,,,40,63,40,0,23,,100
7498552,6,Room Based Capacity,,,,,,6,10,6,0,4,,100
7498553,45,Room Based Capacity,,,,,,20,20,20,0,0,,100
7498554,33,Bed Based Capacity,35,37,33,2,2,,,,,,94.29,
7498555,63,Room Based Capacity,,,,,,67,51,59,8,0,,88.06
7498556,23,Bed Based Capacity,24,24,23,1,0,,,,,,95.83,
7498557,83,Room Based Capacity,,,,,,32,37,32,0,5,,100
7498558,68,Room Based Capacity,,,,,,71,82,61,10,11,,85.92
7498559,13,Room Based Capacity,,,,,,26,30,13,13,4,,50
7498560,48,Room Based Capacity,,,,,,53,30,41,12,0,,77.36
7498561,43,Room Based Capacity,,,,,,22,23,22,0,1,,100
7498562,75,Bed Based Capacity,78,80,75,3,2,,,,,,96.15,
7498563,47,Bed Based Capacity,47,50,47,0,3,,,,,,100,
7498564,44,Bed Based Capacity,50,51,44,6,1,,,,,,88,
7498565,71,Bed Based Capacity,75,81,71,4,6,,,,,,94.67,
7498566,54,Bed Based Capacity,56,72,54,2,16,,,,,,96.43,
7498567,17,Bed Based Capacity,22,22,17,5,0,,,,,,77.27,
7498568,8,Bed Based Capacity,9,15,8,1,6,,,,,,88.89,
7498569,44,Bed Based Capacity,44,55,44,0,11,,,,,,100,
7498570,13,Bed Based Capacity,13,27,13,0,14,,,,,,100,
7498571,66,Room Based Capacity,,,,,,65,71,60,5,6,,92.31
7498572,4,Bed Based Capacity,4,4,4,0,0,,,,,,100,
7498573,70,Bed Based Capacity,73,74,70,3,1,,,,,,95.89,
7498574,21,Bed Based Capacity,21,21,21,0,0,,,,,,100,
7498575,1,Bed Based Capacity,2,2,1,1,0,,,,,,50,
7498576,42,Room Based Capacity,,,,,,42,42,42,0,0,,100
7498577,28,Bed Based Capacity,28,53,28,0,25,,,,,,100,
7498578,27,Bed Based Capacity,28,28,27,1,0,,,,,,96.43,
7498579,44,Bed Based Capacity,44,44,44,0,0,,,,,,100,
7498580,50,Bed Based Capacity,50,50,50,0,0,,,,,,100,
7498581,243,Room Based Capacity,,,,,,231,245,226,5,14,,97.84
7498582,41,Bed Based Capacity,41,41,41,0,0,,,,,,100,
7498583,89,Room Based Capacity,,,,,,90,92,89,1,2,,98.89
7498584,51,Room Based Capacity,,,,,,49,52,49,0,3,,100
7498585,22,Bed Based Capacity,22,22,22,0,0,,,,,,100,
7498586,42,Bed Based Capacity,50,50,42,8,0,,,,,,84,
7498587,16,Bed Based Capacity,16,16,16,0,0,,,,,,100,
